id,firstName,lastName,Password,StudentNo,Status,Birthdate
1,Petronilla,Laviste,d1e5236a7d89f5ac3e904cd2279a788c01be63da,1,Not Active,10/1/1987
2,Lionel,Janusz,5b04b47919194a6809b09beac4058849c99b26e2,2,Active,12/21/1999
3,Colas,Demsey,b922f44178ce31334401768bf1236f8bdeabd700,3,Not Active,5/28/1997
4,Gypsy,Lodovichi,ae3843c3f57f2e2deedca8c3a83abde9662d390b,4,Active,1/30/1998
5,Mayer,Chrismas,de17d0534d72150579a00bb257f283e1ea647a22,5,Active,6/11/1991
6,Simone,Roblin,94b26aa770f0f0ebd7854ce547263aa414f137dd,6,Not Active,2/3/1995
7,Tessy,Horley,febf8c8f99400996f310a08f9c79f2b855a28291,7,Not Active,11/8/1989
8,Robena,Gatch,b752567520fcd74586b593a9d27f379398fa26a1,8,Not Active,5/4/1999
9,Barn,Bickers,8fb1f7b80798cced252bf8ef1ac17720e481006b,9,Active,8/21/1989
10,Madelena,Gregoire,c5a0c78fae7a06ce415e97e6f70605930dc1ffd4,10,Not Active,9/12/1987
11,Beck,Jowsey,41a83b2e8dd3626f3ebf5f7c99a70dc7c1710fd1,11,Not Active,6/26/1995
12,Vivyan,McAster,b5d3dcd04dc08068e8502c4f0162a1edfa9cca1c,12,Not Active,4/23/1990
13,Yorgo,Thornton,c7b0a4456a8b8db416bcb2ebb42a6cf77fd52e2d,13,Active,1/13/2000
14,Griffin,Talman,c33a6cc9160011d1739dd9e717305c7bc4ed9f08,14,Active,4/27/2001
15,Anallese,Von Der Empten,b45e8a6be1bcdfee92fd89bece2f463b6c984d18,15,Active,10/31/2003
16,Rosalia,Leathe,05e9778cf99e5074c046089e59d34cfacbb1b257,16,Active,2/4/1988
17,Flemming,Hirtzmann,520353c5ac435602c24c44c409cd9e5096d834a8,17,Not Active,3/6/1994
18,Kat,Gheorghe,25533b7746576cbb549d4beb989e22db2c33206b,18,Not Active,1/20/1988
19,Sander,Messer,ab58b066b6f38692d4f5feb93167c8c557addb1b,19,Not Active,12/24/2001
20,Sharl,Yuryev,d8cb0406e8c1d7a3268e3ba756d81c95d0b9153e,20,Active,1/28/1989
21,Darrel,Wynes,657915d96d9473dba509336ff5ed9e11561629df,21,Not Active,9/27/1993
22,Nara,Brounsell,47c82dfa43464517c76bea0d863572fe99ed32f9,22,Not Active,5/7/1994
23,Rosabel,Bastable,dc562a9153e7beed563607dbfaa20d17acfd8e06,23,Active,10/28/2000
24,Jarad,Gerauld,27650d4e3f3c46166560514dad27513787820d7a,24,Not Active,7/9/1985
25,Papageno,Kaminski,1b0ce371e05eba47366b06e47801b312c3ceeb56,25,Not Active,12/27/1994
26,Teodoro,Playford,bd425bf6838c417a076f0c87537f4208995bc67f,26,Active,3/2/1990
27,Ethel,Grishenkov,e06e7b483ab96003e3b19251f145b845c88c71af,27,Not Active,2/13/1988
28,Kristofer,Widdowson,11f91f51129df44c7f04a37c40a4c66f2e415fd3,28,Not Active,11/16/1990
29,Kamila,Latty,ee2a3ace13468ae24f20e78aa105b04811493a1b,29,Not Active,5/1/1998
30,Megan,Dobell,e400a641a4896d4020c1d31cabd0e8cd0e33b0a6,30,Active,4/19/1999
31,Lucille,Hekkert,6ad061358466b8ff1bbfd16000b7dbdad7320594,31,Not Active,6/8/1986
32,Caterina,Davy,fdce3f26a82b69db0a41084db96e15cfe373cdc3,32,Not Active,8/27/1989
33,Darcee,Frigot,c84f7354fcf83c7e00131c8c5e80345e873b756d,33,Active,8/8/1996
34,Monika,Wisden,302bf9e540c577b9abe127427506102ef73459cf,34,Not Active,5/4/1998
35,Fredrick,Wentworth,e1159f0bb2ab6f1efbe3d0888231e6bd8efb6420,35,Not Active,10/18/1993
36,Vitia,Lippingwell,b3b23435ad3b9882e1677978032ff592b7b92829,36,Active,2/3/1997
37,Cristal,Chasemore,45600bfc8d9bca05e328ce25cc9b2036243135f5,37,Active,11/7/1999
38,Torr,Mulbery,a971584fd634fd3946188cdaee7948d7411cc14b,38,Not Active,12/14/1997
39,Pauline,Duligall,349b36a43ababfa7e04aa00cee3870d4b444e73e,39,Not Active,8/13/1989
40,Devinne,O'Cannon,283e1c2d8aa8158864007484ebe884ce650700f4,40,Not Active,11/18/1996
41,Honey,Beaty,0c232fb15f9c85b6ae1782d61492746e548378ff,41,Not Active,6/30/1998
42,Godfree,Hedan,b7237c7ceb1d80b89dfe29c15a92f142aa3b8238,42,Not Active,12/30/1997
43,Kathie,Nye,7c4cfc626a6ae79d14874d4ee383c7e5f99252bc,43,Active,7/1/1993
44,Colene,Mattussevich,18ae265c3b0b4cede9a3d01f04574831e31818e1,44,Active,9/30/1997
45,Malchy,McAusland,e646a839bf17d0b903bf57c2aec9d5efe9f00f63,45,Not Active,6/21/1990
46,Monika,Coleridge,6d5ff95243dc14c8709fe82ebd9e89f1fb2da5a7,46,Not Active,1/13/1985
